"IntegrationTime","Points:0","Points:1","Points:2"
0.39582,0.23808,-1.0515,1.4574
0.45612,0.38531,-0.91191,1.6143
0.48524,0.43786,-0.84306,1.6982
0.52007,0.48727,-0.76163,1.8067
0.55392,0.52344,-0.68538,1.9202
0.61309,0.56256,-0.56375,2.1371
0.66125,0.5768,-0.47608,2.3361
0.70581,0.57996,-0.40473,2.5385
0.7662,0.57458,-0.325,2.8322
0.86026,0.55573,-0.23498,3.3342
0.94785,0.53877,-0.17867,3.8498
1.033,0.53087,-0.1431,4.3766
1.12,0.53669,-0.121,4.9138
1.2147,0.56218,-0.10887,5.4508
1.2903,0.59672,-0.10503,5.8153
1.3715,0.64865,-0.10501,6.1487
1.4642,0.72544,-0.10836,6.4459
1.539,0.79785,-0.11317,6.6209
1.6253,0.89565,-0.12053,6.7718
1.7232,1.0189,-0.1298,6.8821
1.7586,1.0647,-0.13318,6.9084
1.7952,1.1139,-0.13679,6.9291
1.8858,1.2414,-0.14599,6.9531
1.99,1.3958,-0.15658,6.9413
2.1153,1.5953,-0.16897,6.8817
2.1486,1.6552,-0.17232,6.8562
2.1784,1.71,-0.17513,6.8292
2.2058,1.7614,-0.17758,6.8011
2.227,1.8019,-0.17941,6.7771
2.2486,1.8434,-0.18125,6.7502
2.3014,1.9443,-0.18557,6.6757
2.3424,2.0253,-0.18879,6.6078
2.3623,2.0654,-0.19021,6.5715
2.4723,2.2743,-0.19491,6.3477
2.5742,2.4641,-0.19413,6.0877
2.621,2.5522,-0.19176,5.9468
2.7778,2.8124,-0.17079,5.419
2.9086,2.9899,-0.13012,4.8802
3.0247,3.1001,-0.064211,4.3368
3.1327,3.1515,0.035973,3.8001
3.2371,3.1495,0.18271,3.273
3.3377,3.1,0.38924,2.7789
3.4358,3.0055,0.66751,2.3388
3.531,2.8603,1.0103,1.9631
3.5522,2.8164,1.0998,1.8849
3.6454,2.5742,1.5095,1.5804
3.682,2.4432,1.6869,1.475
3.6878,2.4199,1.7161,1.4586
0,-1.1131,0.70091,0.075339
0.030957,-1.2051,0.51435,0.076423
0.10725,-1.2974,0.01496,0.079252
0.18438,-1.1905,-0.48145,0.082381
0.2624,-0.89922,-0.89725,0.085912
0.31848,-0.60358,-1.1059,0.088728
0.37662,-0.25107,-1.2234,0.091864
0.4355,0.12154,-1.2314,0.095277
0.51003,0.56365,-1.0846,0.099945
0.58555,0.91814,-0.7824,0.10506
0.65065,1.1097,-0.43543,0.10979
0.72013,1.1763,-0.023593,0.11518
0.80609,1.057,0.46914,0.12252
0.89373,0.73744,0.86249,0.13089
0.95681,0.42336,1.035,0.13756
1.0394,-0.032745,1.095,0.14724
1.1128,-0.41903,0.989,0.1567
1.1983,-0.77522,0.70558,0.16866
1.2568,-0.9297,0.4435,0.17746
1.3183,-1.0008,0.13859,0.18737
1.4144,-0.92034,-0.33056,0.20467
1.4777,-0.75524,-0.58523,0.21713
1.5455,-0.50647,-0.78018,0.23172
1.6329,-0.12748,-0.88632,0.25272
